label_file,round_id,created_date,source_export,review_set,rows,labeled_rows,notes
review_rounds/hpc_random100_reviewed_labels.csv,hpc_random100,2026-05-04,outputs/review_exports/hpc_random100_20260504/hpc_random100_label_review.html,initial_random_hpc_100,100,100,Initial random HPC labels after baseline correction and amplitude filter.
review_rounds/hpc_model_round1_reviewed_labels.csv,hpc_model_round1,2026-05-04,outputs/review_exports/hpc_model_round1_20260504/hpc_model_round1_review.html,model_round1_per_predicted_class_20,120,120,Corrected model-assisted review labels from first centroid classifier iteration.
review_rounds/hpc_model_round2_reviewed_labels.csv,hpc_model_round2,2026-05-04,outputs/review_exports/hpc_model_round2_20260504/hpc_model_round2_review.html,model_round2_per_predicted_class_20,140,140,Corrected model-assisted review labels from second centroid classifier iteration.
review_rounds/hpc_targeted_round3_reviewed_labels.csv,hpc_targeted_round3,2026-05-04,outputs/review_exports/hpc_targeted_round3_20260504/hpc_targeted_round3_review.html,targeted_weak_second_dual_40_each,120,120,Corrected targeted review labels for weak_first_peak second_peak and dual_peak enrichment.
review_rounds/hpc_mlp_round4_reviewed_labels.csv,hpc_mlp_round4,2026-05-04,outputs/review_exports/hpc_mlp_round4_20260504/hpc_mlp_review.html,mlp_round4_per_class_20,140,140,Corrected model-assisted review labels from first MLP classifier iteration.
review_rounds/hpc_random_forest_second_dual_round6_reviewed_labels.csv,hpc_random_forest_second_dual_round6,2026-05-04,outputs/review_exports/hpc_random_forest_second_dual_round6_20260504/hpc_random_forest_review.html,random_forest_targeted_second_dual_50_each,100,100,Corrected RandomForest targeted review labels for second_peak and dual_peak enrichment.
review_rounds/hpc_doublecheck_round7_reviewed_labels.csv,hpc_doublecheck_round7,2026-05-05,outputs/review_exports/hpc_merged_label_doublecheck_20260504/hpc_merged_label_doublecheck.html,full_merged_label_doublecheck_720,720,720,Full double-check pass over merged human labels; highest-priority corrections.
review_rounds/hpc_random_forest_all_classes_round8_reviewed_labels.csv,hpc_random_forest_all_classes_round8,2026-05-05,outputs/review_exports/hpc_random_forest_all_classes_round8_20260505/hpc_random_forest_review.html,random_forest_all_classes_20_each,160,160,Corrected RandomForest all-class review labels after full double-check pass.
review_rounds/hpc_random_forest_targeted_wds_round9_reviewed_labels.csv,hpc_random_forest_targeted_wds_round9,2026-05-05,outputs/review_exports/hpc_random_forest_targeted_wds_round9_20260505/hpc_random_forest_review.html,random_forest_targeted_weak_dual_second_40_each,120,120,Corrected RandomForest targeted review labels for weak_first_peak dual_peak and second_peak.
